('directorate', 0.060008328394753)
('geoint', 0.053078690591025796)
('years', 0.03575361224002461)
('clearance', 0.033653103785896844)
('jpas', 0.033337960219307225)
('count', 0.03150924777228277)
('appear', 0.030977870111947556)
('imagery', 0.02706582650401088)
('sci', 0.026705670547388573)
('access', 0.025468569563312855)
('scope', 0.025412537532882862)
('diploma', 0.020001713829275725)
('secret', 0.019899158462904798)
('ic', 0.016670984774017312)
('school', 0.015805052986352205)
('investigation', 0.015651769455964946)
('celestar', 0.015618833024692115)
('ftes', 0.015618833024692115)
('briefing', 0.015328936831144523)
('apprentice', 0.015259926211260854)
('urban planning', 0.015259926211260854)
('operations management', 0.014949027051386503)
('exploit', 0.01479877159840647)
('active', 0.014794534778854543)
('initiate', 0.01397062516894755)
('method', 0.013457229058828691)
('discussions', 0.013335184087722888)
('oversight', 0.01308433216210879)
('journeyman', 0.013060952123252126)
('national-level', 0.012815643371816038)
('bachelor', 0.012049672052622038)
('source', 0.011988744383987185)
('science', 0.01195992182381226)
('domains', 0.01187160827628515)
('anticipated', 0.01172134491371812)
('intelligence', 0.01111696211538007)
('community', 0.010897319321454801)
('top', 0.010775433879019473)
('may', 0.010696714138944248)
('5', 0.01061190398471369)
('outlook', 0.01059095202282061)
('date', 0.010306251112562951)
('retrieve', 0.01029690708422043)
('four', 0.010225657189649143)
('identify', 0.010137679123645863)
('agency', 0.009975888963493332)
('holding', 0.009932373845268076)
('a', 0.009649397137880752)
('relate', 0.009587978287494503)
('evaluate', 0.009566730542608617)
('level', 0.009544637062144102)
('must', 0.009406827635204076)
('algorithm', 0.009082268402358401)
('advice', 0.008932781152198836)
('limitation', 0.008867802857078865)
('appropriate', 0.008823746013427829)
('earths', 0.008616339178450954)
('and/or', 0.008488313099524802)
('meaning', 0.008475578286519946)
('range', 0.008283074218101125)
('educate', 0.008108959063034136)
('senior', 0.00807424179320963)
('high', 0.008012961047008852)
('documentation', 0.007845136253732156)
('excell', 0.0078094165123460575)
('february/march', 0.0078094165123460575)
('data--including', 0.0078094165123460575)
('wile', 0.0078094165123460575)
('manmade', 0.0078094165123460575)
('applicationsmapping', 0.0078094165123460575)
('re-compete.', 0.0078094165123460575)
('adjudicate', 0.0078094165123460575)
('march/april', 0.0078094165123460575)
('collection', 0.007778875749874825)
('manage/monitor', 0.007629963105630427)
('10-20', 0.007629963105630427)
('e.g.', 0.007629941682792714)
('insurance.', 0.007474513525693251)
('mission', 0.007467072882277868)
('2017', 0.007431479471508853)
('minimal', 0.0073858271837627405)
('manipulate', 0.0073633324130729285)
('expressed', 0.007337397306603688)
('register', 0.007337397306603688)
('referenced', 0.007337397306603688)
('preparedness', 0.007337397306603688)
('salaries', 0.007337397306603688)
('independently', 0.007316443514140548)
('within', 0.007303925016770567)
('output', 0.007297123531535931)
('gravity', 0.007214742694031604)
('strictest', 0.007214742694031604)
('structured', 0.007202872653702822)
('computational', 0.007129253825581145)
('yourself', 0.0071037881231981225)
('novel', 0.00708911181711148)
('data collection', 0.007069297421838454)
('identifying', 0.007044491505216644)
('elevation', 0.00700249455680545)
('well-articulated', 0.00700249455680545)
('3-10', 0.00700249455680545)
('word', 0.006982162207683585)
('...', 0.006909313527451254)
('equivalents', 0.00674272396199813)
('below.', 0.00674272396199813)
('benefits.', 0.00674272396199813)
('productization', 0.006667592043861444)
('supporter', 0.006667592043861444)
('powerpoint', 0.006605693007829843)
('determine', 0.006557688196369516)
('subtasks', 0.006530476061626063)
('science-related', 0.006530476061626063)
('field', 0.006510325378980209)
('airborne', 0.006407821685908019)
('insightful', 0.006404465496380578)
('unfamiliar', 0.006351023128618751)
('tradecraft', 0.006351023128618751)
('20+', 0.006351023128618751)
('navigation', 0.006296867351928434)
('encompasses', 0.006296867351928434)
('onboard', 0.006296867351928434)
('timely', 0.006246808457364704)
('executive-level', 0.006245119320365027)
('existing', 0.006212305663575843)
('solutions', 0.006191333578808114)
('mission-driven', 0.006148051564808055)
('interpret', 0.006138504009118082)
('emergency', 0.006102393229888921)
('paid', 0.006086184502017854)
('earth', 0.006058458277007495)
('demonstrate', 0.006016112806378967)
('holidays', 0.005975270201260273)
('efficient', 0.005966444552761339)
('geospatial data', 0.005935804138142575)
('insurance', 0.005881996220776882)
('21', 0.00586067245685906)
('preliminary', 0.00586067245685906)
('security.', 0.005790097119371788)
('limit', 0.005790097119371788)
('informal', 0.005790097119371788)
('satellite', 0.005756351678841076)
('december', 0.005691660824079502)
('consistent', 0.005661721384577676)
('applied', 0.005645610016656826)
('extensive', 0.00561900308156912)
('implementation', 0.005596775879095794)
('directed', 0.005572157517640221)
('exploitation', 0.005544104725880059)
('upcoming', 0.005544104725880059)
('oral', 0.0055409596812559855)
('general', 0.00539711430750963)
('accomplished', 0.0053886563302072985)
('standardized', 0.0053886563302072985)
('minimize', 0.0053886563302072985)
('two', 0.005387514050684456)
('doctorate', 0.005364652740281869)
('lead', 0.005345393609805267)
('//ch.tbe.taleo.net/', 0.005341134109477714)
('1-3', 0.005341134109477714)
('health insurance', 0.005341134109477714)
('calibration', 0.005341134109477714)
('options', 0.005318081229571462)
('describing', 0.005318081229571462)
('feature', 0.005293628191262846)
('responding', 0.005251541295380462)
('challenging', 0.0052390621104229625)
(u'(20, 30)', 0.0052092045814598215)
('scraped', 0.005188599955565828)
('way.', 0.005148453542110215)
('submission', 0.005128887867069418)
(u'(15, 20]', 0.005109645610381508)
('data', 0.005096789213623068)
('intelligence.', 0.005090716253669603)
('incumbent', 0.005090716253669603)
('conceive', 0.005072089783483074)
('result', 0.0050282088272639225)
('interest', 0.005024542891225171)
('priorities', 0.005017934480495293)
('customer support', 0.005017934480495293)
('related', 0.005013232235070176)
('contributes', 0.005000428457318931)
('off', 0.005000428457318931)
('dont', 0.004983181795701778)
('url', 0.004966186922634038)
('of', 0.004966186922634038)
('algorithm design', 0.0049494365920214915)
('owned', 0.004916642098360287)
('foreign', 0.004916642098360287)
('writing', 0.004885337634423671)
('theoretical', 0.004869120114480212)
('acquire', 0.004823462253262072)
('estimation', 0.004823462253262072)
('second', 0.004779527774081255)
('set', 0.004774176876848557)
