('honeywell', 0.08047756175179545)
('affectional', 0.05576297995161366)
('nationality', 0.05012854231195235)
('00341627', 0.043814676474433226)
('ancestry', 0.038802801837329294)
('status.usa-ga-atlantayescorpnofalse', 0.03666883239843424)
('//careersathoneywell.com/en/newsletternew.aspx', 0.031945690588521376)
('applied mathematics', 0.029213187034363805)
('creed', 0.028828098904146626)
("honeywell's", 0.02837277746492262)
('modeling/development', 0.02788148997580683)
('development/implementation', 0.027432979820786543)
('expression', 0.026948621068213077)
('sign', 0.026113742965458854)
('5+', 0.026044509039419284)
('percentage', 0.025791475181611515)
('considered', 0.024997829919114502)
("isn't", 0.024192751022757815)
('accepted', 0.02306549863646385)
('negotiation', 0.02103723356557964)
('1+', 0.020794621725183444)
('qlikview', 0.0206198746050274)
('marital', 0.020212390314870543)
('spotfire', 0.0201809252199705)
('d3.js', 0.020025500334369235)
('lieu', 0.020025500334369235)
('best-in-class', 0.01888551938716467)
('news', 0.018416605280124978)
('25', 0.017986815756903404)
('status', 0.017791080303612736)
('update', 0.01759012194397545)
('remote', 0.017251498122867883)
('configuration', 0.01663446983348675)
('regard', 0.016625709594482285)
('or', 0.016179372178645086)
('sex', 0.01584610391279364)
('click', 0.015806039278385347)
('in-depth', 0.015806039278385347)
('results', 0.015694708894068973)
('attitude', 0.015694708894068973)
('computer science engineering', 0.015607344231606857)
('identity', 0.015203480236089754)
('age', 0.015176031708430486)
('qualified', 0.015076008060405715)
('higher', 0.014957113432731817)
('without', 0.01490549435038853)
('positive', 0.014843826391320581)
('interested', 0.014535742449565313)
('applicant', 0.01441874257160106)
('gender', 0.014158860802178886)
('bringing', 0.014129947180740472)
('sexual', 0.014068197908861246)
('collaboratively', 0.013969862837620564)
('oriented', 0.013693674259651203)
('orientation', 0.013689562135440094)
('business process', 0.01363425832463408)
('http', 0.013575519556831056)
('origin', 0.013309090870606798)
('academic', 0.013168578052659771)
('race', 0.013157745678501335)
('more.', 0.013114887603759586)
('description', 0.012979017911492034)
('applied math', 0.012829190030526292)
('color', 0.012580762421101212)
('spss', 0.0125345841993614)
('national', 0.01246773900992544)
('prototype', 0.01228993334890385)
('veteran', 0.01221102560099996)
('nosql', 0.01212203067447843)
('talent', 0.011843360922627255)
('disability', 0.011676914299224881)
('ee computer science', 0.011648843073855998)
('employer.', 0.01129927981296318)
('staff', 0.011289900259968693)
('right', 0.010516868968691145)
('state', 0.010444784375468186)
('10', 0.01042890159364585)
('tableau', 0.010249683615128421)
('trend', 0.0101285872930711)
('field', 0.009608882303340205)
('network', 0.009596055019885042)
('data science', 0.009592925836636627)
('travel', 0.009489236073041949)
('understanding', 0.009460907803435078)
('collaboration', 0.009339462281989392)
('masters', 0.009175234693649987)
('production', 0.008980039643495396)
('receive', 0.008980039643495396)
('software', 0.008884429931633697)
('driven', 0.008850007577121025)
('.', 0.008655289250730362)
("bachelor's", 0.008649672163394283)
('visualization', 0.00854409470653813)
('computer science', 0.008523674716031557)
('mathematics', 0.008355097786194407)
('sas', 0.007633906288337558)
('related', 0.007399255137328663)
('etc', 0.00720937128580053)
('future', 0.007192419414581466)
('global', 0.006727478794904509)
('job', 0.006697801170334762)
('excellent', 0.006412567280715609)
('', 0.0063511120040549976)
(u'(5, 10]', 0.006230358022316281)
('join', 0.0061364416052127856)
('hadoop', 0.0061329958871059595)
('highly', 0.00605776740927314)
('must', 0.0059502687324302665)
('platform', 0.005793113301929971)
('employment', 0.005706775792390916)
('value', 0.005593865004863527)
('you', 0.00548641351975209)
('engineering', 0.00537223510608685)
('and/or', 0.005369264324368046)
('ability', 0.0050683315915731495)
('opportunity', 0.005027311124667334)
('modeling', 0.004977655556196626)
(u'Master', 0.00497215349950467)
('research', 0.004914733995788457)
('build', 0.004759393700080349)
('process', 0.004616293884573889)
('equal', 0.004603479822975272)
('degree', 0.00459963614762886)
('year', 0.00440275435511579)
('required', 0.004385472067514685)
('system', 0.004329347529118609)
('r', 0.004108447153634238)
(u'(2, 5]', 0.0040460502682931115)
('preferred', 0.0040391637183941915)
('work', 0.0040031311649457715)
('model', 0.0037971885160781866)
('python', 0.003744926099744243)
('design', 0.003511951835756725)
('technology', 0.0027385428713045785)
('working', 0.002722530273845128)
('new', 0.0026835967537834336)
('skill', 0.0024593577511325504)
('we', 0.0024257101469021157)
('development', 0.002383957557078625)
('experience', 0.002144695967814875)
('team', 0.0021063510250121805)
('business', 0.002030441437361838)
(u'Bachelor', 0.0017523462232584778)
