('caci', 0.07474861224896673)
('malfunctions.', 0.02805296117504966)
('122049', 0.02805296117504966)
('clearance', 0.026019816518528707)
('multi-contractor', 0.022741287582312367)
('hardware/software/network', 0.022741287582312367)
('troubleshoot', 0.02197755013630842)
('computer hardware', 0.02163081949748032)
('hardware', 0.02123355369256476)
('nagios', 0.021190122503533013)
('troubleshooting', 0.021003092696177124)
('scanning', 0.02045367648241963)
('darpa', 0.020139122105040222)
('obtain/maintain', 0.020139122105040222)
('malfunction', 0.019587789835249596)
('outage', 0.019343209740545035)
('resolve', 0.019326379594958448)
('confluence', 0.01911551116619272)
('dynamic', 0.019005490874577643)
('installs', 0.018902513418075844)
('topology', 0.018902513418075844)
('atlassian', 0.018902513418075844)
('defense', 0.018889435864923792)
('contingency', 0.01870243282943453)
('network', 0.018432026473838597)
('patch', 0.017851515034014935)
('vulnerability', 0.017851515034014935)
('operational excellence', 0.01770481021846059)
('linux system administration', 0.017429624733234717)
('installing', 0.017429624733234717)
('arlington', 0.017175629240757224)
('120', 0.016719690215508308)
('readiness', 0.01661490970442882)
('utilized', 0.016135764514469613)
('configuring', 0.015796974612716005)
('secret/sci', 0.015639787675174315)
('incident', 0.015208701993076322)
('females/minorities/protected', 0.015142027062842761)
('russell', 0.014949722449793345)
('requires', 0.01490381742231824)
('responding', 0.014888032913306325)
('practices.', 0.014540312468028484)
('jira', 0.014432096573934619)
('system administration', 0.014327316734323407)
('shell', 0.014327316734323407)
('configure', 0.014276148473333848)
('puppet', 0.014225761448004807)
('upgrade', 0.01393859921614352)
('shell scripting', 0.013893077372326564)
('up', 0.013803875176034661)
('consistency', 0.013760162227868503)
('scientists.', 0.013717020715948634)
('routine', 0.013632393575017294)
('veterans/individuals', 0.013590880113791712)
('index', 0.01335220209119289)
('2000', 0.013202163938532395)
('member', 0.013041616338450066)
('pressure', 0.012989169547747339)
('civilian', 0.01295496960193631)
('developer', 0.01293173610825311)
('percent', 0.0129211204378689)
('government', 0.012912716705515562)
('equipment', 0.012821607474810665)
('1000', 0.012725007567429664)
('seven', 0.012693425892308619)
('4+', 0.012539897844905501)
('launch', 0.012451096384320114)
('travel', 0.012151232991222035)
('adoption', 0.011651033104433094)
('national security', 0.011560610132891542)
('must', 0.011429229050410612)
('software', 0.011376761760639849)
('devops', 0.011344832163458576)
('specifically', 0.0112218282885925)
('15', 0.011162003951177616)
('continuous improvement', 0.011103244828147806)
('category', 0.010932995528721052)
('process improvement', 0.010878143149572353)
('va', 0.01080639670458333)
('you', 0.010538259631999064)
('information systems', 0.010390204052773784)
('worldwide', 0.010267392274749909)
('willing', 0.010252357248062954)
('requisition', 0.01022249114700482)
('typically', 0.010163557801784039)
('five', 0.010091340989893604)
('solve problem', 0.009992821059180628)
('success.', 0.00997898384858291)
('ts/sci', 0.009924208014874189)
('immediate', 0.009924208014874189)
('foster', 0.009897157320792408)
('approximately', 0.0098304850763213)
('security clearance', 0.009804188829613852)
('problem-solving', 0.009765133227956808)
('clients.', 0.009765133227956808)
('projects', 0.009701050493249225)
('disabilities', 0.009613375235000136)
('continuous', 0.009306712987510464)
('employ', 0.009250871864555029)
('automation', 0.00920686949794137)
('information system', 0.009131249579130156)
('fuel', 0.009088803705009026)
('solutions.', 0.009078276998994913)
('maintenance', 0.00897481661804401)
