('manufacturing', 0.03507636883191784)
('formulation', 0.02997084814838524)
('industrial engineering', 0.029638946421850068)
('e.g.', 0.027866156060879856)
('staffing', 0.025369975618814718)
('encoding', 0.024196440426177697)
('aoa', 0.022817308789473686)
('discrete event simulation', 0.022292987441280738)
('operations research industrial engineering', 0.02183879972302892)
('rgbsi', 0.02183879972302892)
('www.rgbsi.com', 0.02183879972302892)
('e.', 0.021438177844804653)
('model/algorithm', 0.021079809435963087)
('cplex', 0.021079809435963087)
('reimbursement.', 0.020459669470394154)
('consolidation', 0.019935348814235188)
('applied mathematics', 0.01927672885941013)
('essence', 0.01908054060182581)
('warranty', 0.018556220637699003)
('retrieving', 0.018556220637699003)
('operations research', 0.01801302961879313)
('database development', 0.017829781579845518)
('sport', 0.01770141380935183)
('non-linear', 0.01770141380935183)
('partner', 0.01760467980908561)
('representation', 0.017577715031415732)
('linear programming', 0.01745835749279787)
('gdia', 0.01745835749279787)
('purchasing', 0.01745835749279787)
('abstraction', 0.01745835749279787)
('clustering', 0.017432570989190443)
('attractive', 0.0170188645756212)
('sequencing', 0.0170188645756212)
('g.', 0.01691732457666791)
('motivation', 0.016198591699084934)
('aerospace', 0.015472156101365485)
('because', 0.01522009093698635)
('attribute', 0.015042590451267601)
("clients'", 0.0148738954486469)
('enjoys', 0.014661243941311075)
('d', 0.014559704634380364)
('algorithm design', 0.014461108954239663)
('newly', 0.014365291028882605)
('employees.', 0.014365291028882605)
('scheduling', 0.014318375659234519)
('complicated', 0.014136929513375633)
('refinement', 0.013760942971535529)
('interpreting', 0.013568728029400626)
('data acquisition', 0.013422413161156097)
('energetic', 0.013386797186964094)
('continued', 0.01328213375736388)
('audiences', 0.013180595142446318)
('involve', 0.013114548615412204)
('optimization', 0.013096034430622504)
('typical', 0.013082000154318065)
('entertainment', 0.012954834445970655)
('appropriate', 0.01289047249240562)
('industries.', 0.012802284959935175)
('holiday', 0.012599595595905597)
('algorithm development', 0.012516294882820193)
('tuition', 0.012355574936802196)
('automotive', 0.0121278958497409)
('cleansing', 0.0121278958497409)
('pride', 0.012079305542456996)
('optimal', 0.011937565829247694)
('prescriptive', 0.011779339327659583)
('translating', 0.011524125910935788)
('phd', 0.011459813467476676)
('mathematics statistics', 0.011325166141669134)
('neural', 0.011248730624504738)
('computer science mathematics', 0.011173975206430889)
('talk', 0.011118967557137562)
('short', 0.011082783913249737)
('r programming', 0.010993973958320068)
('you.', 0.010993973958320068)
('more', 0.01097648689692663)
('401k', 0.01097648689692663)
('problem', 0.010741273743876678)
('tree', 0.010708271523777063)
('analytics', 0.010362031058950071)
('simulation', 0.010313044591901719)
('highest', 0.010270261694418458)
('discovery', 0.010037493997382737)
('model', 0.010022511185294805)
('theory', 0.009998021426716039)
('established', 0.009959001730055117)
('curiosity', 0.009882280210540353)
('finance', 0.009545494283048956)
('skills', 0.009447512418151735)
('energy', 0.00927061564157958)
('communicating', 0.009239074735290117)
('term', 0.00922862577069269)
('professional', 0.009122562867864668)
