('mobiquity', 0.06255185070573907)
('web', 0.04056727132399097)
('server', 0.038362519556729854)
('alexa', 0.03786851675078551)
('mobile', 0.037239128181340536)
('gateway', 0.03314994540646582)
('dynamodb', 0.03212456721213309)
('love', 0.03167520822839243)
('ninja', 0.031275925352869535)
('lambda', 0.031275925352869535)
('like', 0.028860323128575584)
('developer', 0.02703058631374343)
('unsolicited', 0.026304065329479435)
('moment', 0.02497931228752184)
('good', 0.024784199464176496)
('we', 0.024652150283060715)
('it.', 0.02312445180730848)
('jerk', 0.022908178223621255)
('html/css/angular', 0.022908178223621255)
('cognito', 0.022908178223621255)
('rtmp', 0.022908178223621255)
('mvvm', 0.022908178223621255)
('node.js', 0.02189450307130848)
('document-based', 0.020195555750245172)
('memcached', 0.020195555750245172)
('fashioned', 0.020195555750245172)
('serverless', 0.020195555750245172)
('api', 0.019458239259690802)
('store', 0.01898326661322523)
('column-stores', 0.018934258375392754)
('traditional', 0.018710602378910226)
('kit', 0.018484081922754268)
('enterprise-scale', 0.018103463191021185)
('handful', 0.018103463191021185)
('topic', 0.018043557892636394)
('deploy', 0.017920318002942012)
('nix', 0.017773756279541746)
('udp', 0.017222785009508326)
('recruiting', 0.017031596299345142)
('nobody', 0.016987451463016966)
('node', 0.016987451463016966)
('designer', 0.01676307780599606)
("won't", 0.01657497270323291)
('key-value', 0.01657497270323291)
('intimate', 0.016221637748442572)
('service', 0.016077429716669474)
('both', 0.016062283606066544)
('resumes.', 0.016062283606066544)
('skills', 0.016047515295472856)
('human', 0.01602353009274657)
('tcp/ip', 0.015637962676434768)
('craft.', 0.015637962676434768)
('communication', 0.015636240583810926)
('tinkerer', 0.015511312797638952)
('nerd', 0.015511312797638952)
('hunter', 0.015390843487282917)
('couchdb', 0.015390843487282917)
('honor', 0.015061137037409175)
('old', 0.014960342220013982)
('using', 0.014804808132921858)
('believer', 0.014770315419555338)
('except', 0.014680518998084476)
('ton', 0.014680518998084476)
('differentiate', 0.014680518998084476)
('experience', 0.014632691874704434)
('realistic', 0.014593873994785456)
('coder', 0.014510166690586634)
('whose', 0.014429204395900607)
('engagement', 0.0144113197320975)
('framework.', 0.014201122816380559)
('rds', 0.014129548882064169)
('find', 0.01397028033413473)
('humor', 0.013926492541788415)
('spring framework', 0.013862355769126238)
('400', 0.013799842893794833)
('appreciate', 0.013621274051438127)
('fee', 0.013401651552385275)
('game-changing', 0.013401651552385275)
('stack.', 0.013401651552385275)
("people's", 0.013349668056773347)
('application', 0.013348674727589603)
('tcp', 0.01319997832494252)
('inspiration', 0.013058847131325046)
('back-end', 0.013013540846897253)
('seasoned', 0.012925348511953485)
('aws', 0.01290605604336647)
('digital', 0.012781668984309763)
('vertica', 0.012678230246008714)
('bright', 0.012601063933528736)
('build', 0.012587689316275906)
('agencies', 0.012563366702279487)
('amazon', 0.012526236371687623)
('foundational', 0.012526236371687623)
('learn', 0.012346901538289492)
('listing', 0.012247730825151872)
('unit testing', 0.012247730825151872)
('envision', 0.01221502679237344)
('front-end', 0.01215089025051227)
('top-tier', 0.012119436096678444)
("we'll", 0.012088377605981804)
('pragmatic', 0.012088377605981804)
('friend', 0.012088377605981804)
('redis', 0.012057704947898236)
('iot', 0.011967908988029621)
('2000', 0.011797557603735753)
('mvc', 0.011464426485884086)
('advise', 0.011464426485884086)
('lives.', 0.011440570146532915)
('maker', 0.011440570146532915)
('restful', 0.011370353714688343)
('strategies', 0.011347385074718377)
('4+', 0.011302079021090549)
('develop', 0.011279195719034006)
('ip', 0.011257589345649103)
('while', 0.011235641558135985)
