('vig', 0.11236472635447728)
('vista', 0.08263369738086805)
("vista's", 0.07286239932382152)
('intelligence', 0.03699090965701835)
('portfolio', 0.03626924470199158)
('software', 0.029475443148366413)
('intelligence.', 0.026966929306309426)
('cleaning', 0.02556738483716642)
('like', 0.024478389250414897)
('collection/cleansing', 0.024287466441273844)
('orm', 0.024287466441273844)
('rdmss', 0.024287466441273844)
('insight', 0.02401692874357965)
('generation', 0.023279965742768794)
('technology', 0.023230727867748133)
('representational', 0.022472945270895456)
('slack', 0.021411518531019098)
('emergence', 0.020658424345217013)
('lean/agile', 0.020658424345217013)
('concept', 0.01992700370073459)
('skills/requirements', 0.019596997850040522)
('back-testing', 0.019193462283674294)
('scala.', 0.019193462283674294)
('learning', 0.019055371759030534)
('data collection', 0.01898088768042536)
('versioning', 0.01884390390893824)
('advanced', 0.01857739250138169)
('group', 0.01856677043150921)
('munging', 0.018259758976049405)
('bitbucket', 0.018259758976049405)
('nlp', 0.017980627845855263)
('spread', 0.017782477903161148)
('distilling', 0.017378942581494514)
('capitalize', 0.016870681497685308)
('communicator.', 0.01672105238678299)
('monetize', 0.016445240007968)
('distributing', 0.016445240007968)
('cutting', 0.01632859115965241)
('disrupt', 0.015967959424478317)
('deployment', 0.015723035078865636)
('scientist', 0.015545851827526904)
('server-side', 0.015472562743162593)
('differentiated', 0.015383815470386353)
('creation.', 0.015383815470386353)
('deploys', 0.015383815470386353)
('edge', 0.015315373529952993)
('engineer', 0.015228281164168756)
('enable', 0.01500550127900193)
('company', 0.01465867436429001)
('data aggregation', 0.014630723486876721)
('offerings', 0.014503001033423014)
('tool', 0.01438461191467997)
('economy', 0.013894044836973424)
('familiarity', 0.013797889941350656)
('financial', 0.013435332596204943)
('build', 0.013345586840554298)
('experience', 0.013297472421664836)
('interacting', 0.013241651147181082)
('companies.', 0.013092022770372885)
('opportunities.', 0.013055914841949972)
('internet things', 0.013055914841949972)
('data cleaning', 0.0129851596444673)
('employing', 0.01295048652071006)
('industry', 0.012847872785444097)
('service', 0.01278408187549307)
('scala', 0.01277783449056878)
('deep', 0.012755414134951093)
('il', 0.01271984093645033)
('strategic', 0.01266118461539705)
('logic', 0.012422045254224709)
('sets.', 0.01236634574768519)
('continued', 0.012258380866439706)
