('', 0.15269954931751714)
('faraday', 0.03329856156376254)
('ff', 0.03254292189279855)
('something', 0.030994351640227125)
('free', 0.029008181198895103)
('day', 0.025875644221495367)
('save', 0.02347639233645329)
('marketing', 0.02334821718722486)
('a', 0.022917180068799347)
('change', 0.022143332680694898)
('true', 0.021290936994896634)
('statistical', 0.020389739988347737)
('were', 0.019531989528438588)
('+', 0.019386378775634622)
('api/data', 0.01934195612713946)
('assistance/reimbursement', 0.01934195612713946)
('pang', 0.01934195612713946)
('software/languages', 0.01934195612713946)
('mta', 0.01934195612713946)
('sap4', 0.01934195612713946)
('database', 0.01930136631293544)
('new', 0.0190891410684027)
('option', 0.019017990408955864)
('sense', 0.018886682785804406)
('afternoon', 0.018795035887338395)
('start', 0.018758801044412937)
('youll', 0.01843324738104998)
('mining', 0.018374541936799813)
('human-vehicle', 0.018348169555675194)
('california-based', 0.018348169555675194)
('carpool', 0.018348169555675194)
('tendency', 0.018348169555675194)
('mobility.', 0.018348169555675194)
('basically', 0.018348169555675194)
('drive.', 0.018348169555675194)
('fascination', 0.017970349491087206)
('dime', 0.017970349491087206)
('self-starting', 0.017354383213317073)
('penchant', 0.01709614688443841)
('hana', 0.01709614688443841)
('interaction.', 0.016862543731671256)
('technology-first', 0.01664928078188127)
('multi-touch', 0.01664928078188127)
('paid', 0.016626184834434315)
('impact', 0.016483601979714182)
('team-working', 0.016453097903944433)
('hopefully', 0.016271460946399276)
('christmas', 0.016271460946399276)
('eat', 0.016271460946399276)
('wallet', 0.01594417857955135)
('relaxed', 0.015397259027068079)
('global', 0.015308820213577934)
('model', 0.015170694528447458)
('digest', 0.015163656103406658)
('business recommendation', 0.015054705934054662)
('hardworking', 0.015054705934054662)
('user-centric', 0.015054705934054662)
('soul', 0.015054705934054662)
('discounted', 0.015054705934054662)
('onboarding', 0.014950393382722343)
('skillset', 0.014950393382722343)
('stata', 0.014918867807346425)
('hunger', 0.014850339703690351)
('shareholder', 0.014850339703690351)
('parking', 0.01466171015911743)
('satisfy', 0.014572574005451502)
('stories', 0.014403474288449968)
('medium', 0.014373671597207443)
('level', 0.01432985880318064)
('top-notch', 0.014323107304754279)
('truck', 0.014323107304754279)
('locally', 0.014323107304754279)
('attribution modeling', 0.014169871593893834)
('prepared', 0.014169871593893834)
('etl', 0.013969434676545014)
('multi-tasking', 0.013956609102314702)
('beverage', 0.01388945498292005)
('humor', 0.013824091861334088)
('24/7', 0.013760426682588546)
('executives', 0.0135787901832539)
('determination', 0.013521117624589317)
('multivariate testing', 0.013464770995300928)
('bottom', 0.013409690695357223)
('dress', 0.013303109996853031)
('vision', 0.013167678903623078)
('catered', 0.013151455282899328)
('econometric modeling', 0.013151455282899328)
('genuine', 0.013055326542204865)
('possibility', 0.012962826196535892)
('food', 0.012704591013182168)
('intelligence.', 0.012624224258590932)
('game theory', 0.012470989005939197)
('speak', 0.012434131692484036)
('holistic', 0.01236203929479617)
('enthusiasm', 0.01236203929479617)
('outcomes.', 0.012257727201672652)
('social', 0.012195087979262253)
('perks', 0.012190573311382067)
('engineering', 0.01200838016738877)
('friend', 0.011999492476526055)
('enterprise', 0.011958304387275258)
('deep', 0.011942569116547345)
('mobility', 0.011938971825445283)
('onsite', 0.011850903862695272)
('code', 0.011803179843467517)
('community outreach', 0.011765890927489612)
('casual', 0.011683728153924069)
('ethic', 0.011630444331161368)
('seeking', 0.011579327731570813)
('happy', 0.011527230822701115)
('business', 0.01152484669947141)
('lunch', 0.011452576589708365)
('bayesian', 0.011428188752996034)
('paradigm', 0.011404041196700736)
('direct marketing', 0.011356448307220173)
('frequent', 0.011356448307220173)
('car', 0.011356448307220173)
('producing', 0.011309762013049344)
('healthy', 0.011286748172668575)
('vehicle', 0.011153026546679103)
('reimbursement', 0.011153026546679103)
('decision', 0.011102451682581086)
('mix', 0.011005714611019986)
('holiday', 0.010985374637146625)
('brightest', 0.010905661848401048)
('easy', 0.010847533794003049)
('architecture', 0.010720659424924795)
('snack', 0.01068099011596338)
('future', 0.01065176708528055)
('kafka', 0.010627898899398278)
('central', 0.010410265851311603)
('relocation', 0.010410265851311603)
('sr.', 0.010331450546742374)
('mind', 0.010315987125861901)
('years', 0.01027017376167045)
('feed', 0.01021039170473852)
('15', 0.010195671286634966)
('maximize', 0.010039326410011597)
('connected', 0.009931575489348582)
('stock', 0.00986656008012166)
('objectives', 0.009828362897289562)
('401k', 0.009815761657028037)
('realize', 0.009669393732965034)
('statistical software', 0.009645826890435022)
('tree', 0.009622484501797538)
('organize', 0.009542493631703836)
('work', 0.009524231775701997)
('annual', 0.009368904031229445)
