"cluster_number","position_number","Business","Data Science","Computer Science","Management Science and Engineering","Engineering","Economics","Mathematics","Statistics","Information Science","Biological Engineering","Physics","Operations Research","Electrical and Electronics Engineering","Chemical Engineering","Sociology","Industrial Engineering","Geography","Cognitive Science","Psychology","Linguistics","Environmental Engineering","Astrophysics","Transportation Engineering"
0,4915,3577,3559,3410,2658,2197,1669,1447,1319,689,383,369,353,193,129,123,63,54,51,41,41,12,10,4
0,8192,0,0,0.003680307912000804,0.005242050969385742,0.004979084459649003,0.006669803038717321,0.006968587518627854,0,0.010295346294935342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.003591919519598121,0.003165579532699992,0.0045088969876534695,0,0.00573696345288273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8194,0.003338624528315167,0.0031706450080403164,0,0.0039800757360151,0,0.005064109714581669,0.005290964597476703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0.0032979095950430313,0,0.002760230934000603,0.003931538227039306,0,0.0050023522790379905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.0021941467488318747,0.002083750471815543,0,0.0026157090029794976,0,0,0,0,0.00513723161978518,0.005335082719019656,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0.002806800498920936,0.0024736495801972614,0,0,0,0,0,0,0.007186327269061996,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0.003579404120575131,0.0031545496388578316,0.004493186545187778,0,0.005716974033186275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0.002524051554312193,0.002224461293248643,0.003168414099432168,0.003009471196741166,0,0,0,0,0.006462397495028724,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8204,0,0,0.0016922537314994351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0.003038523447118298,0,0,0.0036223161192946414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0.003038523447118298,0,0,0.0036223161192946414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8207,0.0016414481747710383,0.001558860368141218,0.0013738326955268555,0.001956820240468729,0.0018586567178659403,0.0024897899051964504,0.002601324020610701,0.002733694643229257,0.003843179345302115,0,0,0,0,0,0,0.0060849348438454355,0,0,0,0,0,0,0
